# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
0.000123,51,73.387362
2.3e-05,56,73.550194
0.0,60,73.652602
0.000302,26,73.690796
2e-06,28,73.733146
0.000109,28,73.777459
2.5e-05,32,73.825059
0.000241,55,73.996098
0.000495,37,74.069147
2.6e-05,31,74.125286
0.00013,40,74.196635
6.1e-05,37,74.252862
3.2e-05,29,74.296531
2.6e-05,33,74.357782
6.8e-05,42,74.530063
0.0,43,74.607857
0.000465,31,74.664198
0.000374,42,74.757609
2.4e-05,36,74.812456
0.000304,45,74.902351
3e-06,27,74.94803
1e-06,32,75.078695
2.1e-05,56,75.161609
0.000169,36,75.223107
1e-06,30,75.272686
0.000355,34,75.342776
1e-06,54,75.447791
1.4e-05,43,75.603901
0.000188,42,75.674149
9.1e-05,48,75.755581
1.3e-05,47,75.837899
5e-06,24,75.889233
1e-06,37,75.955802
1e-06,33,76.024327
0.000186,25,76.171129
0.000244,40,76.23723
1e-06,29,76.294008
0.000266,47,76.378769
0.0,23,76.426704
5.8e-05,53,76.520811
1.9e-05,26,76.565221
4e-06,43,76.723257
0.0,29,76.775393
0.000167,38,76.840971
0.000146,29,76.889373
0.000285,25,76.935781
2.5e-05,41,77.00949
8.3e-05,49,77.086986
0.0,33,77.209469
1e-06,56,77.298551
2e-06,36,77.352834
2e-06,28,77.396544
1e-06,46,77.475971
0.0,30,77.531071
1e-06,48,77.607576
7.2e-05,33,77.731416
0.0,32,77.780327
2.7e-05,33,77.839502
1.5e-05,30,77.892753
0.00033,27,77.944153
1e-06,41,78.008051
2.2e-05,45,78.076737
0.000335,65,78.24715
0.000444,44,78.31283
0.000422,43,78.38049
2e-05,56,78.471727
5e-06,34,78.532324
